text,label
"Your monthly bank statement is now available in your official banking app.",0
"Your order has shipped. Track your package from the retailer's official website.",0
"Your appointment is confirmed for tomorrow at 4 PM.",0
"Your electricity bill payment was successfully received.",0
"Your package delivery is scheduled for tomorrow.",0
"Your credit card statement is ready to view in your banking app.",0
"Thank you for shopping with us. Your order has been confirmed.",0
"Your flight booking has been confirmed successfully.",0
"Your account password was changed successfully.",0
"Your subscription renewal was completed successfully.",0
"URGENT! Your bank account will be suspended. Verify your OTP immediately.",1
"Congratulations! You won a lottery prize. Pay a processing fee to claim it.",1
"Your account has been compromised. Click this link immediately to restore access.",1
"Send your OTP and password now to prevent your account from being locked.",1
"Your refund is waiting. Pay a small fee to receive your money.",1
"Congratulations! You have won a free smartphone. Send your details to claim it.",1
"Your bank account will be permanently closed unless you verify your credentials today.",1
"URGENT payment required. Send money through gift card to avoid legal action.",1
"Your package is held by customs. Pay immediately using cryptocurrency.",1
"Limited time investment opportunity. Send money today and receive guaranteed returns.",1
"Your social media account will be deleted. Verify your password immediately.",1
"You have an unclaimed inheritance. Pay the processing fee to receive it.",1
"Your payment failed. Click the verification link and enter your card details.",1
"Final warning! Your account is locked. Confirm your PIN immediately.",1
"Exclusive prize winner! Send your bank information to receive your reward.",1
